"Descrizione";"Indirizzo";"Comune";"Provincia";"Raggio di validità (in metri)";"Tipologia di scansione accettata";"Stampa tag"
"ALIMENTA - RICCIONE VIA DEL PROGRESSO, 4/6";"VIA DEL PROGRESSO, 4/6";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"ALIMENTA - RICCIONE VIA DELL'INDUSTRIA, 11";"VIA DELL'INDUSTRIA, SNC";"RICCIONE";"RIMINI";"150";"Qualsiasi";""
"ALIMENTA - SALUDECIO VIA DEL LAVORO, 60";"VIA DEL LAVORO, 60";"SALUDECIO";"RIMINI";"100";"Qualsiasi";""
"ALKA SERVIZI - RIMINI";"VIA BIDENTE, 1/B";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ALMA CARIM - PALESTRE - RIMINI";"CUNEO, SNC";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ALMA CASA DEL VOLLEY - PALESTRE - RIMINI";"BIDENTE, 41";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ALMA EUTERPE- PALESTRE - RIMINI";"EUTERPE, 5";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ALMA MATER - AULE MONTASPRO FORLI - PRESIDIO";"luciano montaspro, 97";"FORLI'";"FORLI E CESENA";"200";"Qualsiasi";""
"ALMA MATER - LABIC FORLI - PRESIDIO";"giacomo della torre, 1";"FORLI'";"FORLI E CESENA";"200";"Qualsiasi";""
"ALMA MATER - TEACHING HUB FORLI - PRESIDIO";"francesco corridoni, 20";"FORLI'";"FORLI E CESENA";"200";"Qualsiasi";""
"ALMA MATER STUDIORUM - FAENZA VIA DELLE CERAMICHE";"DELLE CERAMICHE, 21";"FAENZA";"RAVENNA";"100";"Qualsiasi";""
"ALTUS - GUESS RICCIONE";"CECCARINI, 91";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"ALUMINOX - VILLAMARINA";"VIA SAN TOMMASO, 12";"CESENATICO";"FORLI E CESENA";"100";"Qualsiasi";""
"AMIR - RIMINI";"VIA DARIO CAMPANA, 63";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ANAUNIA - SANTARCANGELO";"DEL GRANO, 235";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"ANTHEA - RIMINI";"PIAZZALE KENNEDY, SNC";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ANTICA CUCINA BIO - RIMINI";"PIETRARUBBIA, 25M";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ANTINCENDIO RIMINESE - RIMINI - PULIZIE CONTINUATIVE";"VIA TOSCA , 59";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"APIUSTUDIO - RIMINI";"PORTO PALOS, 17";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ARCHIVIO DI STATO - FANO";"CASTRACANE, 1";"FANO";"PESARO E URBINO";"100";"Qualsiasi";""
"ARCHIVIO DI STATO - PESARO";"DELLA NEVIERA, 44";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"ARCHIVIO DI STATO - RIMINI";"PIAZZETTA SAN BERNARDINO , 1";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"ARCHIVIO DI STATO - URBINO";"PIANO S. LUCIA, 40";"URBINO";"PESARO E URBINO";"100";"Qualsiasi";""
"AREA GIOCHI - PUNTADIFERRO FORLI' - PULIZIE CONTINUATIVE";"PIAZZALE DELLA COOPERAZIONE , 2";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"ASSOCIAZIONE ARCOBALENO - RICCIONE";"VIA GIACINTO MARTINELLI, 21";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"AUDIO TRE - RIMINI";"EDELWEISS RODRIGUEZ SENIOR, 3";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"AUTOMOBILE CLUB ITALIA - RIMINI";"VIA ITALIA, 31";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"AUTOTRASPORTI GIANNETTI - MISANO";"VIA TAVOLETO, 43";"MISANO ADRIATICO";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA  - LONGIANO";"DELLA SOLIDARIETA', 8";"LONGIANO";"FORLI E CESENA";"300";"Qualsiasi";""
"BANCA MALATESTIANA - ALBA RICCIONE";"EMILIA, 62";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - CATTOLICA";"DEL PORTO, SNC";"CATTOLICA";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - CELLE";"XXIII SETTEMBRE, 125";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - FONTANELLE";"SICILIA, 51";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - GROTTA ROSSA";"DELLA GAZZELLA, 23";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - ITTICO";"VIA SINISTRA DEL PORTO, 82A";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - MARECCHIESE";"MARECCHIESE, 131";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - MISANO ADRIATICO";"TAVOLETO, 3A";"MISANO ADRIATICO";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - MORCIANO";"ROMA, 59";"MORCIANO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - NOVAFELTRIA";"XXIV MAGGIO , 81";"NOVAFELTRIA";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - PALAZZO GHETTI - PIANI SUPERIORI";"XX SETTEMBRE, 63";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - PESARO";"FIUME, 24";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BANCA MALATESTIANA - POGGIO TORRIANA";"SANTARCANGIOLESE, 3102";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - POLO ADRIATICO";"DEL COMMERCIO , 2";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - RIO SALSO";"TRONTO, 6";"TAVULLIA";"PESARO E URBINO";"100";"Qualsiasi";""
"BANCA MALATESTIANA - RIVABELLA";"COLETTI, 143";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - RIVAZZURA";"DEI MARTIRI, 58";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - S. GIOVANNI IN MARIGNANO";"VITTORIO VENETO, 15M";"SAN GIOVANNI IN MARIGNANO";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - SALUDECIO";"SANTA MARIA DEL MONTE, 638C";"SALUDECIO";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - SAN VITO";"PARETO, 1";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - SANTA GIUSTINA";"EMILIA, 379";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - SANTARCANGELO";"PASCOLI, 19";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - TORRE PEDRERA";"SAN SALVADOR, 51";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA - VISERBA";"JOHN LENNON, 3";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA CSR - CORIANO";"GARIBALDI, 119";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA CSR - FLAMINIA";"FLAMINIA CONCA, 80";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA CSR - IV NOVEMBRE";"IV NOVEMBRE, 37";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA CSR - OSPEDALETTO";"PIAZZA GRAMSCI, 1";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA CSR - PALAZZO GHETTI FILIALE - CORTILE INTERNO";"XX SETTEMBRE, 63";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA CSR - PALAZZO GHETTI SEDE - PIANO TERRA E SUPERIORI";"XX SETTEMBRE , 63";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANCA MALATESTIANA CSR - VILLA VERUCCHIO";"TENUTA AMALIA, 1";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BANDINI - FORLI";"VIA GRADAMORA, 19";"FORLI'";"FORLI E CESENA";"100";"Qualsiasi";""
"BANDINI - IMOLA";"VIALE GIUSEPPE DI VITTORIO, 70";"IMOLA";"BOLOGNA";"100";"Qualsiasi";""
"BANDINI - MORDANO";"VIA PAGNINA, 16";"MORDANO";"BOLOGNA";"100";"Qualsiasi";""
"BARTORELLI GIOIELLERIA CSR - RICCIONE";"DANTE, 53";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"BEAUTY LUXURY - RIMINI";"FLAMINIA, 300";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BEFANE - RIMINI ";"CADUTI DI NASSIRYA, 20";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"BENNET - ACQUI TERME";"SAVONA, 90/92";"ACQUI TERME";"ALESSANDRIA";"100";"Qualsiasi";""
"BENNET - ALESSANDRIA LOC. ASTUTI";"VIA TORINO, 26";"ALESSANDRIA";"ALESSANDRIA";"150";"Qualsiasi";""
"BENNET - BELFORTE MONFERRATO";"VIA MOLINO, 1";"BELFORTE MONFERRATO";"ALESSANDRIA";"150";"Qualsiasi";""
"BENNET - CASTELVETRO PIACENTINO";"VIA BELLINA, 4";"CASTELVETRO PIACENTINO";"PIACENZA";"150";"Qualsiasi";""
"BENNET - CENTO";"VIA MATTEO LOVES, 2";"CENTO";"FERRARA";"100";"Qualsiasi";""
"BENNET - COLLE UMBERTO";"VIA CALATE, 13";"COLLE UMBERTO";"TREVISO";"200";"Qualsiasi";""
"BENNET - COMACCHIO";"VIA VALLE DELL'ISOLA, 9";"COMACCHIO";"FERRARA";"150";"Qualsiasi";""
"BENNET - FORLIMPOPOLI";"VIA XXV OTTOBRE, 4";"FORLIMPOPOLI";"FORLI E CESENA";"150";"Qualsiasi";""
"BENNET - PIEVE DI SOLIGO";"VIA DEGLI ARTIGIANI, 426";"PIEVE DI SOLIGO";"TREVISO";"100";"Qualsiasi";""
"BENNET - PRADAMANO";"VIA NAZIONALE, 108";"PRADAMANO";"UDINE";"200";"Qualsiasi";""
"BENNET - SACILE";"VIALE EUROPA, 1";"SACILE";"PORDENONE";"150";"Qualsiasi";""
"BIBLIOTECA D'ARTE DEI MUSEI CIVICI - PESARO";"VIA ROSSINI, 37";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BIBLIOTECA E ARCHIVIO VITTORIO BOBBATO - PESARO";"GALLERIA DEI FONDITORI, 64";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BIBLIOTECA LOUIS BRAILLE - PESARO";"PIAZZALE EUROPA, 16";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BIBLIOTECA PEPPINO IMPASTATO - PESARO";"VIA DELLA CONCORDIA, S.N.";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BIBLIOTECA RODARI - PESARO - PORITERATO";"DELL'INDIPENDENZA, S.N.";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BIBLIOTECA SAN GIOVANNI - PESARO";"VIA G. PASSERI, 102";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BIBLIOTECA UMBERTO SPADONI - PESARO";"LARGO VOLONTARI DEL SANGUE, 9";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"BIOCLEAN - TANGIBLE - SANTARCANGELO";"EMILIA, 3009";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"BOFROST - RIMINI - PULIZIE CONTINUATIVE";"VECCHIA EMILIA, 75";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"BONZAI - MONTALETTO CERVIA";"DELL'INDUSTRIA, 6";"CERVIA";"RAVENNA";"100";"Qualsiasi";""
"BRN VILLAGE - FORLIMPOPOLI";"GIORGIO AMENDOLA, 22";"FORLIMPOPOLI";"FORLI E CESENA";"200";"Qualsiasi";""
"BULL BIKES - DUCATI - MISANO";"ADRIATICA, 169";"MISANO ADRIATICO";"RIMINI";"100";"Qualsiasi";""
"CA' PELLETTI - BOLOGNA";"ALTABELLA, 15C";"BOLOGNA";"BOLOGNA";"300";"Qualsiasi";""
"CAAR - RIMINI";"VECCHIA EMILIA, 75";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CAEM SVILUPPO - MISANO ADRIATICO";"CELLA RAIBANO, 33A";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"CAEM SVILUPPO - RIMINI";"DELLA MARTORA, 2";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"CAEM SVILUPPO - SANTARCANGELO";"MORIGI, 65";"SANTARCANGELO DI ROMAGNA";"RIMINI";"300";"Qualsiasi";""
"CAEM SVILUPPO - TALAMELLO";"FIUME, 10/A";"TALAMELLO";"RIMINI";"300";"Qualsiasi";""
"CALZATURIFICIO CASADEI - GIUNTERIA - SAN MAURO";"RIO SALTO, 11";"SAN MAURO PASCOLI";"FORLI E CESENA";"300";"Qualsiasi";""
"CALZATURIFICIO CASADEI - SEDE - SAN MAURO ";"XX SETTEMBRE , 87";"SAN MAURO PASCOLI";"FORLI E CESENA";"300";"Qualsiasi";""
"CALZATURIFICIO CASADEI - SPEDIZIONI - SAN MAURO";"RUFFILLI, 11";"SAN MAURO PASCOLI";"FORLI E CESENA";"300";"Qualsiasi";""
"CALZATURIFICIO CATIA - SAN MAURO";"PIAZZA UMBERTO NOBILE, 3";"SAN MAURO PASCOLI";"FORLI E CESENA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - CASA TRAVERSARI VIA S.VITALE";"SAN VITALE, 28";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - COORDINAMENTO ALTRI CAMPUS";"DINA SASSOLI, 24";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CAMPUS RAVENNA - EX ASILO INFANTILE VIA TOMBESI";"TOMBESI DALL'OVA, 55";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - FAENZA VIA GRANAROLO";"GRANAROLO, 62";"FAENZA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - LAUREE CASA MATHA";"piazza andrea costa, 3";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - OSPEDALE SANTA MARIA DELLE CROCI";"Viale Vincenzo Randi, , 5";"RAVENNA";"RAVENNA";"200";"Qualsiasi";""
"CAMPUS RAVENNA - PALAZZO CONGRESSI";"LARGO FIRENZE, 1";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - PALAZZO CORRADINI";"MARIANI, 5";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - PALAZZO SANTACROCE VIA GUACCIMANNI";"GUACCIMANNI, 42";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - PALAZZO STROCCHI VIA DEGLI ARIANI";"ARIANI, 1";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - PALAZZO VERDI VIA PASOLINI";"PASOLINI, 23";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - SEMINARIO ARCIVESCOVILE VIA OBERDAN";"OBERDAN, 1";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMPUS RAVENNA - VIA S.ALBERTO";"SAN ALBERTO, 163";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"CAMST CSR - SCUOLA ELEMENTARE CAMERANO POGGIO TORRIANA";"MACELLO DI CAMERANO, 581";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"CAMST CSR - SCUOLA ELEMENTARE MARINO MORETTI SANTO MARINO";"SANTARCANGIOLESE, 5470";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"CARROZZERIA ROMA - RIMINI";"CLERICI, 9";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CASCATA DELLE MARMORE";"CONTE MENOTTI, 15";"";"TERNI";"500";"Qualsiasi";""
"CEMI SCUOLA SUZUKI - RIMINI";"DARIO CAMPANA, 65";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CENTRO DI RACCOLTA CSR - RICCIONE VIA LOMBARDIA";"LOMBARDIA, SNC";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"CENTRO DI RACCOLTA CSR - RIMINI VIA MACANNO";"MACANNO, 3";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CERAMICA DEL CONCA CSR - SAN CLEMENTE";"VIA CROCE, 8";"SAN CLEMENTE";"RIMINI";"100";"Qualsiasi";""
"CHE FINESTRE - CATTOLICA";"EMILIA ROMAGNA, 164";"CATTOLICA";"RIMINI";"100";"Qualsiasi";""
"CHE FINESTRE - POGGIO TORRIANA";"SANTARCANGIOLESE, 3034";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"CHIESA SAN GASPARE - RIMINI";"SANTA CHIARA , 23";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"CIACCI BARBARA - RIMINI";"CAIROLI, 23";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CIBA BROKERS - RIMINI - PULIZIE CONTINUATIVE";"CADUTI DI MARZABOTTO, 38";"RIMINI";"RIMINI";"150";"Qualsiasi";""
"CILS - EMMEFOOD - SAN MAURO PASCOLI";"VENA, 30";"SAN MAURO PASCOLI";"FORLI E CESENA";"100";"Qualsiasi";""
"CIRCOLO VELICO - RIMINI";"DESTRA DEL PORTO, 147B";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CIT SERVICE - RIMINI";"ROMANIA, 7";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CMA 2000 - CORIANO";"CESARE PAVESE, 22";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"CNA - BELLARIA";"ORAZIO, 128";"BELLARIA-IGEA MARINA";"RIMINI";"100";"Qualsiasi";""
"CNA - NOVAFELTRIA";"25 APRILE, 1/B";"NOVAFELTRIA";"RIMINI";"100";"Qualsiasi";""
"CNA - RICCIONE";"CECCARINI, 163";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"CNA - RIMINI";"PIAZZALE TOSI, 4";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CNA - SANTARCANGELO";"TOGLIATTI, 17";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"CNA - SANTARCANGELO CENTRO TEOREMA";"VIA TOSI, 318";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"CNS - ARIA - CORSO ITALIA 52 MILANO";"CORSO ITALIA, 52";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - ARIA - VIA CONCA DEL NAVIGLIO 45 MILANO";"CONCA DEL NAVIGLIO, 45";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - ARIA - VIA JUVARA 22 MILANO";"JUVARA, 22";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - ARIA - VIA STATUTO 5 MILANO";"STATUTO, 5";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - ALZAIA NAVIGLIO PAVESE 16";"ALZAIA NAVIGLIO PAVESE, 16";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - CORSO XXII MARZO 12";"CORSO XXII MARZO, 12";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - IST.COM. VIA GIACOSA 46";"GIACOSA, 46";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - IST.COM. VIA PADOVA 69";"PADOVA, 69";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - PALAZZO MARINO P. SCALA 2";"PIAZZA DELLA SCALA, 2";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - POLO VIA DELEDDA 11";"GRAZIA DELEDDA, 11";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - TEMPIO S.SEBASTIANO V.TORINO";"TORINO, 28";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - UFFICI VIA DURANDO 38A";"DURANDO , 38A";"MILANO";"MILANO";"200";"Qualsiasi";""
"CNS - COMUNE MILANO - UFFICI VIA LARGA 12";"LARGA, 12";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - UFFICI VIA SILE 8";"SILE, 8";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA ALEX VISCONTI 18";"ALEX VISCONTI, 18";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA BERNARDINO VERRO 87";"BERNARDINO VERRO, 87";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA BEROLDO 9";"BEROLDO, 9";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA DOGANA 2";"DOGANA, 2";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA FRIULI 30";"FRIULI, 30";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA G.B. VICO 18 - PORTIERATO";"G.B. VICO , 18";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA GIUSTI 42";"GIUSTI , 42";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA MURILLO 17";"MURILLO, 17";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA PALMIERI 20";"PALMIERI, 20";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA PAREA 26";"PAREA, 26";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA PEPE 40";"PEPE, 40";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - COMUNE MILANO - VIA SAVONA 66";"SAVONA, 66";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - COMUNE MILANO - VILLA SCHEIBLER VIA ORSINI";"FELICE ORSINI, 21";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - FONDAZIONE UNIMI";"ORTLES, 22/4";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - PIAZZA S. ALESSANDRO 1";"PIAZZA S. ALESSANDRO, 1";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - VIA BRERA 28";"BRERA, 28";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - VIA DELLA COMMENDA 19";"DELLA COMMENDA , 19";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - VIA FESTA DEL PERDONO 7";"FESTA DEL PERDONO, 7";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - VIA MERCALLI 23";"MERCALLI, 23";"MILANO";"MILANO";"300";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - VIA PACE 10";"PACE, 10";"MILANO";"MILANO";"100";"Qualsiasi";""
"CNS - UNIVERSITA' MILANO - VIA S. ANTONIO 12";"S. ANTONIO, 12";"MILANO";"MILANO";"100";"Qualsiasi";""
"COCCI LUCIANO - CORIANO";"MARENELLO, 1";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"COCCO & GIGANTE - RIMINI - PULIZIE CONTINUATIVE";"RODRIGUEZ, 13";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"COLORIFICIO MP - RIMINI VIA GRANDI";"GRANDI, SNC";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"COLORIFICIO MP - RIMINI VIA PASTORE";"GIULIO PASTORE, 2";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"COMUNE - OFFIDA - PULIZIE CONTINUATIVE";"CORSO SERPENTE AUREO, 66";"OFFIDA";"ASCOLI PICENO";"200";"Qualsiasi";""
"COMUNE DI BELLARIA CSR - BELLARIA";"PIAZZA DEL POPOLO, 1";"BELLARIA-IGEA MARINA";"RIMINI";"100";"Qualsiasi";""
"COMUNE DI RIMINI - CENTRO ESTIVO GALEONE";"SACRAMORA, 52";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"CONDOMINIO 696 - VIA ROSMINI BELLARIA";"ROSMINI, 5";"BELLARIA-IGEA MARINA";"RIMINI";"100";"Qualsiasi";""
"CONDOMINIO CASTORE - RIMINI";"CASTORE, 19";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONDOMINIO DIAMANTE - VIA BELTRAMI VISERBA";"BELTRAMI, 18";"RIMINI";"RIMINI";"100";"Qualsiasi";""
